%time,field.x,field.y,field.z
1456328988124980926,1.20357781649e-05,-2.38958656788e-05,2.56586283445e-05
1456328988145009040,1.17630578578e-05,-2.38383382559e-05,2.57598727942e-05
1456328988164988040,1.1435353756e-05,-2.37829342484e-05,2.5716739893e-05
1456328988186270952,1.1162404716e-05,-2.3756930232e-05,2.58504509926e-05
1456328988206368923,1.10179044306e-05,-2.37238720059e-05,2.59209543467e-05
1456328988226692914,1.08175754547e-05,-2.36831665039e-05,2.5966951251e-05
1456328988248847961,1.06176696718e-05,-2.39073783159e-05,2.59528517723e-05
1456328988268910884,1.02569632232e-05,-2.37458616495e-05,2.60519385338e-05
1456328988289212942,1.01046852767e-05,-2.37452715635e-05,2.60908633471e-05
1456328988312145948,9.47202369571e-06,-2.37518548965e-05,2.61825144291e-05
1456328988332220077,9.04826149344e-06,-2.37363278866e-05,2.61472940445e-05
1456328988352494001,8.8878788054e-06,-2.36635103822e-05,2.62010991573e-05
1456328988372528076,8.5746333003e-06,-2.37809017301e-05,2.63766497374e-05
1456328988392785072,8.01639854908e-06,-2.37445637584e-05,2.61241465807e-05
1456328988412802934,7.87105932832e-06,-2.36537411809e-05,2.63138085604e-05
1456328988433094024,7.47173577547e-06,-2.37511470914e-05,2.6216417551e-05
1456328988453263998,7.26278349757e-06,-2.37411409616e-05,2.63508170843e-05
1456328988474359989,6.79823160172e-06,-2.37399607897e-05,2.64275372028e-05
1456328988494407892,6.41503483057e-06,-2.36936196685e-05,2.63121396303e-05
1456328988514614105,6.27071261406e-06,-2.3572923243e-05,2.63573467731e-05
1456328988535046100,5.89413866401e-06,-2.37637221813e-05,2.64375239611e-05
1456328988556122064,5.7510394603e-06,-2.38056078553e-05,2.63091146946e-05
1456328988576754093,5.57398200035e-06,-2.37153738737e-05,2.645855546e-05
1456328988598234891,5.35027272999e-06,-2.36839681864e-05,2.64165133238e-05
1456328988618403911,5.19055239856e-06,-2.37405508757e-05,2.63762146235e-05
1456328988638412952,4.88649383187e-06,-2.38364234567e-05,2.63834863901e-05
1456328988658391952,4.81433495879e-06,-2.37560778856e-05,2.64057993889e-05
1456328988678735971,4.51813042164e-06,-2.36276194453e-05,2.64338195324e-05
1456328988698753118,4.25447225571e-06,-2.36523240805e-05,2.63843208551e-05
1456328988718782901,4.05457653105e-06,-2.37805485725e-05,2.63688027859e-05
1456328988738841056,3.8710411638e-06,-2.36935019493e-05,2.6302215457e-05
1456328988759095907,3.59921790659e-06,-2.36858561635e-05,2.62761861086e-05
1456328988779460906,3.33414971828e-06,-2.37236097455e-05,2.64268964529e-05
1456328988799499988,2.91089452803e-06,-2.37091451883e-05,2.63196855783e-05
1456328988820138931,2.69534811378e-06,-2.37340867519e-05,2.62545257807e-05
1456328988840773105,2.31918413192e-06,-2.37737283111e-05,2.62764662504e-05
1456328988860711097,1.97543725371e-06,-2.3590220511e-05,2.62393295765e-05
1456328988880943059,1.79199781269e-06,-2.3663392663e-05,2.61591076851e-05
1456328988901036977,1.64750609547e-06,-2.35503420234e-05,2.62284308672e-05
1456328988921232938,1.42456721514e-06,-2.36965700984e-05,2.60769993067e-05
1456328988941407918,1.1442235671e-06,-2.38158494234e-05,2.61247903109e-05
1456328988962744951,8.65033641458e-07,-2.36815154552e-05,2.60088264942e-05
1456328988982770919,5.44985150918e-07,-2.3681396246e-05,2.60145694017e-05
1456328989002907037,4.13349363953e-08,-2.36901044846e-05,2.59631454945e-05
1456328989022973060,-3.00842453726e-07,-2.35898926854e-05,2.57032215595e-05
1456328989043538093,-4.05216077343e-07,-2.34130844474e-05,2.57558882236e-05
1456328989063652038,-7.32479477301e-07,-2.34546154737e-05,2.56501793861e-05
